Source Port,Fwd Packet Length Max,Total Length of Fwd Packets,Flow Bytes/s,Init_Win_bytes_forward,Destination Port,Protocol,Flow Duration,Fwd Packet Length Std,Flow Packets/s
51344,0.0,0.0,8689.757179834833,-1,53,17,16226,0.0,123.2589670898558
41831,0.0,0.0,30263.62454190803,-1,53,17,8459,0.0,236.43456673365648
39007,0.0,0.0,8797.17175039053,-1,53,17,24326,0.0,82.21655841486475
41948,0.0,0.0,20285.599893233684,-1,53,17,7493,0.0,266.9157880688643
49963,0.0,0.0,9900.9900990099,-1,53,17,10908,0.0,183.35166850018337
53932,209.0,1214.0,5311.002735374774,-1,443,17,1727734,38.747382928327774,23.73050481150455
43450,0.0,0.0,35900.893308612845,-1,53,17,5933,0.0,337.09758975223326
36509,0.0,0.0,29565.38878486252,-1,53,17,10147,0.0,197.10259189908348
58988,0.0,0.0,32832.15710340595,-1,53,17,6518,0.0,306.84258975145747
49122,0.0,0.0,0.0,-1,443,6,46399388,0.0,0.0646560252044703
58653,0.0,0.0,11413.176585843745,-1,53,17,20415,0.0,97.96718099436688
55516,2316.0,4819.0,463.77308036652704,-1,443,6,11070069,1171.716931117182,1.5356724515447917
