Source Port,Fwd Packet Length Max,Total Length of Fwd Packets,Flow Bytes/s,Init_Win_bytes_forward,Destination Port,Protocol,Flow Duration,Fwd Packet Length Std,Flow Packets/s
0,0.0,0.0,0.0,-1,0,0,16104987,0.0,1.1797587914848984
0,0.0,0.0,0.0,-1,0,0,513141,0.0,9.743910543106086
0,0.0,0.0,0.0,-1,0,0,7055352,0.0,0.7086818630735929
0,0.0,0.0,0.0,-1,0,0,205489,0.0,19.465762157585075
0,0.0,0.0,0.0,-1,0,0,631956,0.0,3.1647772946217776
0,0.0,0.0,0.0,-1,0,0,35356667,0.0,0.1414160446741204
0,0.0,0.0,0.0,-1,0,0,811038,0.0,7.397927100826348
62851,0.0,0.0,967.874027472732,-1,19302,17,53726,0.0,37.225924133566615
64032,0.0,0.0,852.7911855503062,-1,53,17,175893,0.0,11.370549140670748
0,0.0,0.0,0.0,-1,0,0,7478,0.0,401.1767852366943
0,0.0,0.0,0.0,-1,0,0,74757,0.0,40.13002126891127
0,0.0,0.0,0.0,-1,0,0,74778884,0.0,0.0936093135596942
0,0.0,0.0,0.0,-1,0,0,825187,0.0,2.4236930538168924
0,0.0,0.0,0.0,-1,0,0,9228328,0.0,0.2167239829360205
0,0.0,0.0,0.0,-1,0,0,58988471,0.0,0.0847623258449943
54861,0.0,0.0,2481.3052345343303,-1,53,17,88260,0.0,22.660321776569223
0,0.0,0.0,0.0,-1,0,0,76453159,0.0,0.065399521293816
0,0.0,0.0,0.0,-1,0,0,7685021,0.0,0.2602465237245285
0,0.0,0.0,0.0,-1,0,0,11878672,0.0,0.1683689893954475
0,0.0,0.0,0.0,-1,0,0,675941,0.0,7.397095308614213
0,0.0,0.0,0.0,-1,0,0,223620,0.0,13.415615776764152
0,0.0,0.0,0.0,-1,0,0,27435697,0.0,0.0728977288238749
0,0.0,0.0,0.0,-1,0,0,13784358,0.0,0.1450919948538771
0,0.0,0.0,0.0,-1,0,0,56917879,0.0,3.865217816707471
0,0.0,0.0,0.0,-1,0,0,174666,0.0,11.45042538330299
0,0.0,0.0,0.0,-1,0,0,3232184,0.0,1.2375533076087253
0,0.0,0.0,0.0,-1,0,0,6096153,0.0,0.3280757553165086
50150,329.0,868.0,219.9277499027171,-1,443,6,32233313,126.59394842478758,0.6514998939141006
443,0.0,0.0,0.0,-1,50025,6,5427835,0.0,0.5527065579554279
0,0.0,0.0,0.0,-1,0,0,52777730,0.0,0.0568421567202681
0,0.0,0.0,0.0,-1,0,0,198738,0.0,20.1270013786996
0,0.0,0.0,0.0,-1,0,0,125977,0.0,31.75182771458282
0,0.0,0.0,0.0,-1,0,0,2034021,0.0,1.474911025992357
0,0.0,0.0,0.0,-1,0,0,663896,0.0,4.518780049887331
0,0.0,0.0,0.0,-1,0,0,90363432,0.0,0.2987934322813237
0,0.0,0.0,0.0,-1,0,0,6236382,0.0,0.481048146184759
0,0.0,0.0,0.0,-1,0,0,10571954,0.0,0.4729494661062657
0,0.0,0.0,0.0,-1,0,0,14194,0.0,352.2615189516697
0,0.0,0.0,0.0,-1,0,0,16465721,0.0,0.1214644654795256
0,0.0,0.0,0.0,-1,0,0,9655371,0.0,0.9321236853560572
0,0.0,0.0,0.0,-1,0,0,436991,0.0,11.44188324244664
0,0.0,0.0,0.0,-1,0,0,111423019,0.0,0.053848837106092
0,0.0,0.0,0.0,-1,0,0,546688,0.0,5.4875907281667065
0,0.0,0.0,0.0,-1,0,0,9773750,0.0,0.2046297480496227
0,0.0,0.0,0.0,-1,0,0,5568,0.0,359.1954022988506
0,0.0,0.0,0.0,-1,0,0,2257906,0.0,4.428882336111423
0,0.0,0.0,0.0,-1,0,0,222432,0.0,17.9830240253201
0,0.0,0.0,0.0,-1,0,0,25628,0.0,78.03964413922272
0,0.0,0.0,0.0,-1,0,0,69999699,0.0,0.1285719814309487
0,0.0,0.0,0.0,-1,0,0,126150,0.0,15.854141894569954
0,0.0,0.0,0.0,-1,0,0,59682177,0.0,0.0670216838772486
0,0.0,0.0,0.0,-1,0,0,698038,0.0,2.8651735292347977
0,0.0,0.0,0.0,-1,0,0,93008,0.0,21.50352657835885
0,0.0,0.0,0.0,-1,0,0,3728419,0.0,0.5364203969564579
0,0.0,0.0,0.0,-1,0,0,64768,0.0,30.879446640316203
0,0.0,0.0,0.0,-1,0,0,7686376,0.0,0.2602006459220834
0,0.0,0.0,0.0,-1,0,0,5405744,0.0,1.4799072986068151
0,0.0,0.0,0.0,-1,0,0,796778,0.0,6.275273664684517
0,0.0,0.0,0.0,-1,0,0,22029599,0.0,0.6355086172925798
0,0.0,0.0,0.0,-1,0,0,562318,0.0,7.1134126953076375
0,0.0,0.0,0.0,-1,0,0,40831543,0.0,0.1469452183083064
0,0.0,0.0,0.0,-1,0,0,3035255,0.0,4.612462544333178
0,0.0,0.0,0.0,-1,0,0,5867950,0.0,0.3408345333549195
0,0.0,0.0,0.0,-1,0,0,11067716,0.0,0.1807057571770002
0,0.0,0.0,0.0,-1,0,0,52818507,0.0,0.0378655155852852
0,0.0,0.0,0.0,-1,0,0,13377898,0.0,0.1495003176134247
0,0.0,0.0,0.0,-1,0,0,28998345,0.0,115.62728838490612
0,0.0,0.0,0.0,-1,0,0,12137664,0.0,0.164776352352479
0,0.0,0.0,0.0,-1,0,0,413981,0.0,4.83113959336298
0,0.0,0.0,0.0,-1,0,0,117322,0.0,25.5706517106766
0,0.0,0.0,0.0,-1,0,0,336877,0.0,5.936884975822037
0,0.0,0.0,0.0,-1,0,0,19489523,0.0,0.102619238038817
0,0.0,0.0,0.0,-1,0,0,4083585,0.0,0.4897657328058556
0,0.0,0.0,0.0,-1,0,0,588831,0.0,3.3965603033807663
